moa,name
ribonucleotide reductase inhibitor,cytarabine
histamine receptor antagonist,epinastine
DNA synthesis inhibitor,floxuridine
"DNA inhibitor, topoisomerase inhibitor",valrubicin
retinoid receptor agonist,adapalene
adenylyl cyclase activator,colforsin-daproate
PABA antagonist,sulfamethazine
phosphofructokinase inhibitor,niridazole
thiamine uptake blocker,amprolium
dopamine-norepinephrine reuptake inhibitor,methylphenidate
estrogen receptor antagonist,fulvestrant
"DNA synthesis inhibitor, microtubule inhibitor",estramustine-phosphate
"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor",masitinib
calcium channel blocker,cinnarazine
HDAC inhibitor,belinostat
HDAC inhibitor,romidepsin
cyclooxygenase inhibitor,metoxibutropate
antimalarial agent,dihydroartemisinin
trace amine associated receptor agonist,octopamine
FAAH inhibitor,PF-3845
MER tyrosine kinase inhibitor,UNC2250
chloride channel blocker,flufenamic-acid
protein synthesis inhibitor,puromycin
"ALK tyrosine kinase receptor inhibitor, insulin growth factor receptor inhibitor",AZD3463
,9-aminoacridine
Bcr-Abl kinase inhibitor,GZD824
ubiquitin C-terminal hydrolase inhibitor,LDN-57444
protein synthesis inhibitor,cycloheximide
,4-hydroxy-phenazone
L-type calcium channel activator,BAY-K-8644-(s)-(-)
PARP inhibitor,AG-14361
HDAC inhibitor,RGFP966
p53 activator,NSC-319726
sodium channel blocker,A-803467
proteasome inhibitor,ONX-0914
cholinergic receptor antagonist,nitrocaramiphen
protein synthesis inhibitor,azomycin-(2-nitroimidazole)
JAK inhibitor,AZ960
,isoflupredone-acetate
PI3K inhibitor,PI-828
,oxymatrine
acetylcholinesterase inhibitor,demecarium
topoisomerase inhibitor,doxorubicin
"NFkB pathway inhibitor, proteasome inhibitor",bortezomib
histamine receptor antagonist,astemizole
DNA alkylating agent,estramustine
microtubule stabilizing agent,ixabepilone
dehydrogenase inhibitor,azathioprine
"aldehyde dehydrogenase inhibitor, DNA methyltransferase inhibitor, TRPV agonist",disulfiram
glucocorticoid receptor agonist,rimexolone
"antimalarial agent, DNA inhibitor",primaquine
dihydrofolate reductase inhibitor,pralatrexate
cyclooxygenase inhibitor,piroxicam
sodium channel blocker,quinidine
bacterial 50S ribosomal subunit inhibitor,tedizolid
psychoactive drug,mefexamide
uricase inhibitor,oxonic-acid
,dehydrocholate-acid
nitric oxide synthase inhibitor,7-nitroindazole
MDM inhibitor,RITA
dopamine receptor antagonist,UH-232-(+)
"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",KI-8751
TGF beta receptor inhibitor,D-4476
"HIV integrase inhibitor, lipoxygenase inhibitor, nitric oxide production inhibitor, tumor necrosis factor production inhibitor",caffeic-acid
MDM inhibitor,nutlin-3
BCL inhibitor,TW-37
bromodomain inhibitor,bromosporine
histone lysine methyltransferase inhibitor,EPZ-5676
notch signaling inhibitor,FLI-06
mTOR inhibitor,PP242
contraceptive agent,estradiol-benzoate
cyclooxygenase inhibitor,FR-122047
cardiac glycoside,lanatoside-c
"cannabinoid receptor agonist, glucose dependent insulinotropic receptor agonist, potassium channel blocker, PPAR receptor agonist",oleoylethanolamide
monopolar spindle 1 kinase inhibitor,AZ3146
tubulin polymerization inhibitor,parbendazole
,TAME
microtubule inhibitor,D-64131
serotonin receptor antagonist,SB-228357
HSP inhibitor,NMS-E973
"potassium channel blocker, sodium channel blocker",mepivacaine
HMGCR inhibitor,atorvastatin
calcineurin inhibitor,tacrolimus
bacterial permeability inducer,lasalocid
GK0582 inhibitor,clofazimine
EGFR inhibitor,erlotinib
retinoid receptor agonist,tamibarotene
vitamin D receptor agonist,tacalcitol
thyrotropin releasing hormone receptor agonist,protirelin
"FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAF inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",regorafenib
calcineurin inhibitor,cyclosporin-a
dipeptidyl peptidase inhibitor,saxagliptin
bacterial 50S ribosomal subunit inhibitor,tilmicosin
other antibiotic,chlorquinaldol
phosphate antagonist,sevelamer
GABA benzodiazepine site receptor agonist,clonazepam
GABA receptor antagonist,thiocolchicoside
"estrogen receptor agonist, estrogenic hormone",estrone
opioid receptor antagonist,naltrexone
"RET tyrosine kinase inhibitor, VEGFR inhibitor",cabozantinib
androgen receptor antagonist,nilutamide
topoisomerase inhibitor,teniposide
,camylofine-chlorhydrate
dopamine receptor antagonist,mesoridazine
neuraminidase inhibitor,oseltamivir-phosphate
adrenergic receptor antagonist,oxprenolol
histamine receptor antagonist,nizatidine
antiprotozoal agent,narasin
"cyclooxygenase inhibitor, lipoxygenase inhibitor",tepoxalin
DNA alkylating agent,temozolomide
androgen receptor antagonist,bicalutamide
potassium channel activator,hexachlorophene
sodium channel blocker,triamterene
histamine receptor antagonist,cimetidine
hydroxyphenylpyruvate dioxygenase inhibitor,nitisinone
"dopamine receptor antagonist, serotonin receptor antagonist",sertindole
DNA inhibitor,chlorambucil
ribonucleotide reductase inhibitor,fludarabine-phosphate
platelet aggregation inhibitor,eptifibatide
antiviral,vidarabine
tubulin polymerization inhibitor,docetaxel
dihydropyrimidine dehydrogenase inhibitor,gimeracil
ribonucleotide reductase inhibitor,clofarabine
dopamine receptor antagonist,raclopride
PARP inhibitor,olaparib
topoisomerase inhibitor,etoposide
"cytochrome P450 inhibitor, imidazoline receptor ligand",clotrimazole
"Abl kinase inhibitor, Bcr-Abl kinase inhibitor, src inhibitor",bosutinib
adrenergic receptor antagonist,metoprolol
microtubule inhibitor,cabazitaxel
angiotensin receptor antagonist,eprosartan
ribonucleotide reductase inhibitor,hydroxyurea
,trometamol
"DNA alkylating agent, DNA inhibitor",melphalan
bacterial 50S ribosomal subunit inhibitor,josamycin
progestogen hormone,deoxycorticosterone-acetate
"immunosuppressant, protein synthesis inhibitor, purine antagonist",mercaptopurine
"DNA synthesis inhibitor, T cell inhibitor",nelarabine
estrogen receptor agonist,estradiol-cypionate
sodium channel blocker,oxcarbazepine
sterol demethylase inhibitor,sulconazole
cyclooxygenase inhibitor,suxibuzone
adrenergic receptor agonist,xylazine
vitamin B2,riboflavin
,cyromazine
"acetylcholinesterase inhibitor, microtubule inhibitor",secnidazole
"DNA synthesis inhibitor, thymidylate synthase inhibitor",capecitabine
androgen receptor antagonist,flutamide
sterol demethylase inhibitor,posaconazole
cannabinoid receptor agonist,palmitoylethanolamide
tubulin polymerization inhibitor,vinorelbine
tubulin polymerization inhibitor,paclitaxel
dihydrofolate reductase inhibitor,pyrimethamine
Bruton's tyrosine kinase (BTK) inhibitor,ibrutinib
DNA synthesis inhibitor,artemisinin
"interferon inducer, toll-like receptor agonist",imiquimod
glucocorticoid receptor agonist,clobetasol-propionate
glucocorticoid receptor antagonist,aminoglutethimide
estrogen receptor antagonist,clomifene
vasopressin receptor antagonist,mozavaptan
topoisomerase inhibitor,genz-644282
tachykinin antagonist,FK-888
RNA polymerase inhibitor,triptolide
kinesin-like spindle protein inhibitor,SB-743921
RNA polymerase inhibitor,favipiravir
Bcr-Abl kinase inhibitor,flumatinib
HSP inhibitor,SNX-2112
AKT inhibitor,GDC-0068
caspase activator,gambogic-acid
opioid receptor agonist,spiradoline
SYK inhibitor,R406
"EGFR inhibitor, VEGFR inhibitor",BMS-690514
VEGFR inhibitor,foretinib
progesterone receptor agonist,tanaproget
CFTR channel agonist,tezacaftor
RNA polymerase inhibitor,CX-5461
opioid receptor agonist,BW-180C
cholesteryl ester transfer protein inhibitor,dalcetrapib
RET tyrosine kinase inhibitor,apatinib
calcitonin antagonist,MK-3207
"AKT inhibitor, mTOR inhibitor",palomid-529
potassium channel blocker,meglitinide
farnesyltransferase inhibitor,tipifarnib
MEK inhibitor,Ro-4987655
"Aurora kinase inhibitor, growth factor receptor inhibitor",danusertib
dihydroorotate dehydrogenase inhibitor,brequinar
CHK inhibitor,AZD7762
DNA inhibitor,tirapazamine
CDK inhibitor,P276-00
LDL receptor activator,berberine
non-nucleoside reverse transcriptase inhibitor,dapivirine
"FLT3 inhibitor, KIT inhibitor, PKC inhibitor",midostaurin
peptidase inhibitor,tosedostat
HIV attachment inhibitor,BMS-626529
PI3K inhibitor,GDC-0941
"FLT3 inhibitor, JAK inhibitor",pacritinib
CC chemokine receptor antagonist,UNBS-5162
HSP inhibitor,ganetespib
focal adhesion kinase inhibitor,PF-562271
hypoxia inducible factor inhibitor,2-methoxyestradiol
