broad_id,name,moa,predicted_labels,SMILES
BRD-A01643550-001-04-9,prednisolone-acetate,glucocorticoid receptor agonist,16,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)O)C)O
BRD-A02180903-001-04-5,betamethasone,glucocorticoid receptor agonist,16,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C
BRD-A03506276-001-01-5,XL888,HSP inhibitor,0,"CC[C@@H](C)NC1=C(C=C(C(=C1)C(=O)NC2CC3CCC(C2)N3C4=NC=C(C=C4)C(=O)C5CC5)C)C(=O)N
CC[C@@H](C)NC1=C(C=C(C(=C1)C(=O)NC2C[C@H]3CC[C@@H](C2)N3C4=NC=C(C=C4)C(=O)C5CC5)C)C(=O)N
CCC(C)NC1=C(C=C(C(=C1)C(=O)NC2CC3CCC(C2)N3C4=NC=C(C=C4)C(=O)C5CC5)C)C(=O)N
CCC(C)NC1=C(C=C(C(=C1)C(=O)NC2C[C@H]3CC[C@@H](C2)N3C4=NC=C(C=C4)C(=O)C5CC5)C)C(=O)N"
BRD-A03623303-045-09-5,metoprolol,adrenergic receptor antagonist,8,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O
BRD-A05906449-004-01-1,lappaconite,sodium channel blocker,0,CCN1C[C@@]2(CC[C@@H]([C@@]34[C@@H]2C[C@@H]([C@H]31)[C@]5(C[C@@H]([C@H]6C[C@@H]4[C@@]5([C@H]6OC)O)OC)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C
BRD-A06352418-001-25-9,terfenadine,histamine receptor antagonist,17,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O
BRD-A07704283-001-01-3,isofloxythepin,dopamine receptor antagonist,4,CC(C)C1=CC2=C(C=C1)SC3=C(CC2N4CCN(CC4)CCO)C=CC(=C3)F
BRD-A10070317-003-28-3,propranolol,adrenergic receptor antagonist,23,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
BRD-A10903566-003-07-7,imiloxan,adrenergic receptor antagonist,16,CCN1C=CN=C1CC2COC3=CC=CC=C3O2
BRD-A10977446-001-12-1,carvedilol,adrenergic receptor antagonist,22,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
BRD-A11990600-001-03-4,lorazepam,benzodiazepine receptor agonist,21,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
BRD-A13133631-001-04-0,fluorometholone,glucocorticoid receptor agonist,4,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@]2([C@@]4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O
BRD-A14395271-074-17-8,mesoridazine,dopamine receptor antagonist,1,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C
BRD-A16700644-003-04-4,isoxsuprine,adrenergic receptor agonist,16,CC(COC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O
BRD-A18696154-003-22-6,idazoxan,adrenergic receptor antagonist,13,C1CN=C(N1)C2COC3=CC=CC=C3O2
BRD-A20239487-001-24-9,atenolol-(+/-),adrenergic receptor antagonist,2,Error: 404
BRD-A23072235-050-18-5,pheniramine,histamine receptor antagonist,12,CN(C)CCC(C1=CC=CC=C1)C2=CC=CC=N2
BRD-A24587114-066-22-5,isoetharine,adrenergic receptor agonist,8,CCC(C(C1=CC(=C(C=C1)O)O)O)NC(C)C
BRD-A25687296-300-04-3,emetine,protein synthesis inhibitor,0,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC
BRD-A27887842-001-04-0,prednisolone,glucocorticoid receptor agonist,16,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O
BRD-A28329383-001-02-1,MTPG,glutamate receptor antagonist,2,"CC(C1=CC=C(C=C1)C2=NNN=N2)(C(=O)O)N
C[C@](C1=CC=C(C=C1)C2=NNN=N2)(C(=O)O)N"
BRD-A28970875-300-04-9,puromycin,protein synthesis inhibitor,12,CN(C)C1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)NC(=O)[C@H](CC4=CC=C(C=C4)OC)N)O
BRD-A30582499-003-05-1,tiletamine,glutamate receptor antagonist,10,CCNC1(CCCCC1=O)C2=CC=CS2
BRD-A30886737-001-02-9,florfenicol,protein synthesis inhibitor,17,CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CF)NC(=O)C(Cl)Cl)O
